CATEGORY,BARCODE,NAME,PRICE,PRICE_NORMALIZED,IMAGE,PL,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to
7,80027956,ΦΤΕΡΟΥΓΑ ΚΟΤΟΠΟΥΛΟ ΕΛΛΗΝΙΚΗ (Μόνο καταστήματα με τμήμα Κρεοπωλείου),2.50,2.50,default_kalathi.png,0,Νωπό Κοτόπουλο Ολόκληρο,Kg,,galaxias,10-09-2025,16-09-2025
8,381050,TOSTAKI ΓΑΛΟΠΟΥΛΑ ΒΡΑΣΤΗ,8.93,8.93,default_kalathi.png,0,Γαλοπούλα,Kg,,galaxias,10-09-2025,16-09-2025
8,381051,TOSTAKI ΓΑΛΟΠΟΥΛΑ ΚΑΠΝΙΣΤΗ,8.93,8.93,default_kalathi.png,0,Γαλοπούλα,Kg,,galaxias,10-09-2025,16-09-2025
8,80009714,ΠΑΣΣΙΑΣ Χ.ΓΛΟΥΤ. ΓΑΛΟΠΟΥΛΑ ΚΑΠΝΙΣΤΗ ΣΤΡΟΓΓΥΛΗ,7.80,7.80,default_kalathi.png,0,Γαλοπούλα,Kg,,galaxias,10-09-2025,16-09-2025
9,80023930,ΠΑΓΚΑΣΙΟΥΣ ΦΙΛ.Δ/Φ 1000ΓΡ.(Κ.Β.800ΓΡ.),4.75,5.94,default_kalathi.png,0,Ψάρια Κατεψυγμένα,Kg,,galaxias,10-09-2025,16-09-2025
10,80030760,ΜΑΝΔΡΕΚΑ ΦΡΕΣΚΟ ΓΑΛΑ ΠΛΗΡΕΣ 1ΛΤ (ΝΟΜΟΙ ΑΧΑΪΑΣ - ΚΟΡΙΝΘΟΥ - ΑΡΓΟΛΙΔΑΣ),1.54,1.54,default_kalathi.png,0,Γάλα Φρέσκο Πλήρες,lt,,galaxias,10-09-2025,16-09-2025
10,80030387,ΘΕΣ ΓΑΛΑ ΓΑΛΑ ΑΓΕΛΑΔΟΣ ΠΛΗΡΕΣ 1LT (ΜΟΝΟ ΘΕΣΣΑΛΙΑ),1.32,1.32,default_kalathi.png,0,Γάλα Φρέσκο Πλήρες,lt,,galaxias,10-09-2025,16-09-2025
10,351077,ΜΕΒΓΑΛ ΓΑΛΑ ΑΓΕΛΑΔΑΣ ΛΕΥΚΟ ΠΛΗΡΕΣ 3.7% 1LT (ΒΟΡΕΙΑ ΕΛΛΑΔΑ),1.37,1.37,default_kalathi.png,0,Γάλα Φρέσκο Πλήρες,lt,,galaxias,10-09-2025,16-09-2025
10,80036843,ΣΕΡΓΑΛ ΓΑΛΑ ΦΡΕΣΚΟ ΠΛΗΡΕΣ 1LT (ΜΑΚΕΔΟΝΙΑ - ΘΡΑΚΗ),1.12,1.12,default_kalathi.png,0,Γάλα Φρέσκο Πλήρες,lt,,galaxias,10-09-2025,16-09-2025
10,351231,ΟΛΥΜΠΟΣ ΕΠΙΛΕΓΜΕΝΟ ΓΑΛΑ 1LT. ΠΛΗΡΕΣ,1.59,1.59,default_kalathi.png,0,Γάλα Φρέσκο Πλήρες,lt,,galaxias,10-09-2025,16-09-2025
