CATEGORY,BARCODE,NAME,PRICE,PRICE_NORMALIZED,IMAGE,PL,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to,name,null
48,5201410220056,SEPTONA ΣΑΜΠ&ΑΦΡ/ΤΡΟ ΑΛΟΗ 500ML,2.67,5.34,7149350.jpg,0,Σαμπουάν για Μωρά,lt,,ab,25-12-2024,31-12-2024,,
49,8590421066430,LOVEPET Υ.Τ. ΣΚ.ΒΟΔ.ΚΟΝΣ.415G,0.64,1.54,7664211.jpg,1,Τροφή για Σκύλους,kg,,ab,25-12-2024,31-12-2024,,
49,8590421066454,LOVEPET Υ.Τ. ΣΚ.ΠΟΥΛ.ΚΟΝΣ.415G,0.64,1.54,7664232.jpg,1,Τροφή για Σκύλους,kg,,ab,25-12-2024,31-12-2024,,
50,5400601000808,365 ΓΑΤ.ALU ΒΟΔΙΝΟ 100GR,0.37,3.70,7063119.jpg,1,Τροφή για γάτες,kg,,ab,25-12-2024,31-12-2024,,
50,5400601000815,365 ΓΑΤ.ALU ΠΟΥΛΕΡΙΚΑ 100GR,0.37,3.70,7063120.jpg,1,Τροφή για γάτες,kg,,ab,25-12-2024,31-12-2024,,
50,5400601000822,365 ΓΑΤ.ALU ΨΑΡΙ 100GR,0.37,3.70,7063121.jpg,1,Τροφή για γάτες,kg,,ab,25-12-2024,31-12-2024,,
51,5203064042404,ΑΛΛΑΤΙΝΗ ΑΛΕΥΡΙ Γ.Ο.Χ.1KG ΣΕΤ 2+1,2.80,0.93,7087564.jpg,0,Αλεύρι,kg,,ab,25-12-2024,31-12-2024,,
53,29825141,ΕΔΕΣΜΑ  ΠΑΡΙΖΑ  Χ.Γ,3.96,3.96,7672672.jpg,0,Πάριζα,kg,,ab,25-12-2024,31-12-2024,,
53,5202336097951,ΑΒ ΠΑΡΙΖΑΚΙ 330ΓΡ,1.14,3.45,7079912.jpg,1,Πάριζα,kg,,ab,25-12-2024,31-12-2024,,
54,5202336110308,AB ΓΑΛΑ ΥΨ.ΘΕΡΜΙΚΗΣ ΕΠΕΞ. ΠΛΗΡΕΣ 1L,1.05,1.05,7344931.jpg,1,Γάλα υψηλής παστερίωσης πλήρες,kg,,ab,25-12-2024,31-12-2024,,
55,5202336110315,AB ΓΑΛΑ ΥΨ.ΘΕΡΜΙΚΗΣ ΕΠΕΞ. ΕΛΑΦΡΥ 1L,1.05,1.05,7344879.jpg,1,Γάλα παστερίωσης με χαμηλά λιπαρά,kg,,ab,25-12-2024,31-12-2024,,
56,26915197,ΛΕΥΚΟ ΤΣΕΛΙΓΚΑΤΟ ΔΟΧΕΙΟ,5.95,5.95,default_kalathi.png,0,Λευκό τυρί,kg,,ab,25-12-2024,31-12-2024,,
56,5203197138227,ΛΕΥΚΟ ΤΥΡΙ ΒΕΡΓΙΝΑ ΤΑΠΕΡ 400ΓΡ,3.24,8.10,7558015.jpg,0,Λευκό τυρί,kg,,ab,25-12-2024,31-12-2024,,
57,5201502247527,AGRINO ΦΑΣΟΛΙΑ ΜΕΤΡΙΑ 500GR ΕΙΣ.,2.06,4.12,7085599.jpg,0,Φασόλια,kg,,ab,25-12-2024,31-12-2024,,
57,5202336137732,ΑΒ ΦΑΣΟΛΙΑ ΜΕΤΡΙΑ 500GR ΕΙΣΑΓ.,0.98,1.96,7225878.jpg,1,Φασόλια,kg,,ab,25-12-2024,31-12-2024,,
58,5201502247718,AGRINO ΡΕΒΥΘΙΑ ΑΝΑΠΟΦΛΟΙΩΤΑ 500GR ΕΙΣΑΓΩ,2.60,5.20,7085630.jpg,0,Ρεβύθια,kg,,ab,25-12-2024,31-12-2024,,
52,18902,ΒΟΕΙΟ ΠΟΝΤΙΚΙ ΝΩΠΟ Α/Ο Ν/Ζ ΙΣΠΑΝΙΑΣ,10.95,10.95,18902.jpg,0,Μοσχάρι,kg,xmas,bazaar,25-12-2024,31-12-2024,,
63,5208086451494,ALPINA 90G ΣΟΚΟΛΑΤΑ ΓΑΛΑΚΤΟΣ ΜΕ ΦΟΥΝΤΟΥΚΙ,0.95,10.56,5208086451494.jpg,1,Σοκολάτα,kg,xmas,bazaar,25-12-2024,31-12-2024,,
63,5208086451647,ALPINA 90G ΣΟΚΟΛΑΤΑ ΓΑΛΑΚΤΟΣ ΜΕ ΑΜΥΓΔΑΛΑ,0.95,10.56,5208086451647.jpg,1,Σοκολάτα,kg,xmas,bazaar,25-12-2024,31-12-2024,,
64,18034,ΑΡΝΙ ΝΩΠΟ ΕΛΛΗΝΙΚΟ,9.98,9.98,18034.jpg,0,Αρνί,kg,xmas,bazaar,25-12-2024,31-12-2024,,
65,18035,ΚΑΤΣΙΚΙ ΝΩΠΟ ΕΛΛΗΝΙΚΟ,10.98,10.98,18035.jpg,0,Κατσίκι,kg,xmas,bazaar,25-12-2024,31-12-2024,,
66,21141,AIA ΓΑΛΟΠΟΥΛΑ ΜΠΟΥΤΙ ΝΩΠΟ ΙΤΑΛΙΑΣ,4.99,4.99,21141.jpg,0,Γαλοπούλα,kg,xmas,bazaar,25-12-2024,31-12-2024,,
67,5208086439560,ΚΑΛΗΜΕΡΑ 480G ΤΣΟΥΡΕΚΙ ΠΟΛΙΤΙΚΟ ΜΕ ΜΑΣΤΙΧΑ ΧΙΟΥ,1.99,4.15,5208086439560.jpg,1,Τσουρέκι,kg,xmas,bazaar,25-12-2024,31-12-2024,,
